Company,Current Price,Volatility,Risk Level
SALONA,"Ticker
SALONA.NS   235.04
Name: 2025-04-07 00:00:00, dtype: float64",0.02998,Medium
RITES,"Ticker
RITES.NS   213.32
Name: 2025-04-07 00:00:00, dtype: float64",0.02872,Medium
CREDITACC,"Ticker
CREDITACC.NS   956.00
Name: 2025-04-07 00:00:00, dtype: float64",0.0376,High
ORIENTALTL,"Ticker
ORIENTALTL.NS   8.78
Name: 2025-04-07 00:00:00, dtype: float64",0.0323,High
CORDSCABLE,"Ticker
CORDSCABLE.NS   150.56
Name: 2025-04-07 00:00:00, dtype: float64",0.03755,High
HBSL,"Ticker
HBSL.NS   80.33
Name: 2025-04-07 00:00:00, dtype: float64",0.03499,High
GRWRHITECH,"Ticker
GRWRHITECH.NS   2418.70
Name: 2025-04-07 00:00:00, dtype: float64",0.04588,High
PENINLAND,"Ticker
PENINLAND.NS   24.01
Name: 2025-04-07 00:00:00, dtype: float64",0.03505,High
VIJIFIN,"Ticker
VIJIFIN.NS   2.21
Name: 2025-04-07 00:00:00, dtype: float64",0.02981,Medium
SAMBHAAV,"Ticker
SAMBHAAV.NS   5.22
Name: 2025-04-07 00:00:00, dtype: float64",0.04285,High
A2ZINFRA,"Ticker
A2ZINFRA.NS   12.88
Name: 2025-04-07 00:00:00, dtype: float64",0.04041,High
NGLFINE,"Ticker
NGLFINE.NS   1080.45
Name: 2025-04-07 00:00:00, dtype: float64",0.0365,High
LAMBODHARA,"Ticker
LAMBODHARA.NS   124.81
Name: 2025-04-07 00:00:00, dtype: float64",0.04449,High
POLYMED,"Ticker
POLYMED.NS   1994.80
Name: 2025-04-07 00:00:00, dtype: float64",0.03248,High
BANARISUG,"Ticker
BANARISUG.NS   3707.25
Name: 2025-04-07 00:00:00, dtype: float64",0.02147,Medium
NIBL,"Ticker
NIBL.NS   22.43
Name: 2025-04-07 00:00:00, dtype: float64",0.03145,High
MONTECARLO,"Ticker
MONTECARLO.NS   524.75
Name: 2025-04-07 00:00:00, dtype: float64",0.02666,Medium
E2E,"Ticker
E2E.NS   1854.20
Name: 2025-04-07 00:00:00, dtype: float64",0.03834,High
BIRLACORPN,"Ticker
BIRLACORPN.NS   1090.15
Name: 2025-04-07 00:00:00, dtype: float64",0.02124,Medium
UNICHEMLAB,"Ticker
UNICHEMLAB.NS   606.20
Name: 2025-04-07 00:00:00, dtype: float64",0.02833,Medium
SAH,"Ticker
SAH.NS   75.31
Name: 2025-04-07 00:00:00, dtype: float64",0.03439,High
GODIGIT,"Ticker
GODIGIT.NS   278.75
Name: 2025-04-07 00:00:00, dtype: float64",0.02757,Medium
NSIL,"Ticker
NSIL.NS   6509.80
Name: 2025-04-07 00:00:00, dtype: float64",0.0451,High
SUPRAJIT,"Ticker
SUPRAJIT.NS   364.15
Name: 2025-04-07 00:00:00, dtype: float64",0.02133,Medium
IFBAGRO,"Ticker
IFBAGRO.NS   452.65
Name: 2025-04-07 00:00:00, dtype: float64",0.02748,Medium
INDUSINDBK,"Ticker
INDUSINDBK.NS   675.90
Name: 2025-04-07 00:00:00, dtype: float64",0.0343,High
RUSTOMJEE,"Ticker
RUSTOMJEE.NS   512.60
Name: 2025-04-07 00:00:00, dtype: float64",0.01786,Medium
MODISONLTD,"Ticker
MODISONLTD.NS   124.80
Name: 2025-04-07 00:00:00, dtype: float64",0.0326,High
RATNAMANI,"Ticker
RATNAMANI.NS   2516.45
Name: 2025-04-07 00:00:00, dtype: float64",0.01828,Medium
BIGBLOC,"Ticker
BIGBLOC.NS   61.66
Name: 2025-04-07 00:00:00, dtype: float64",0.03678,High
UPL,"Ticker
UPL.NS   614.45
Name: 2025-04-07 00:00:00, dtype: float64",0.01895,Medium
BEML,"Ticker
BEML.NS   2765.35
Name: 2025-04-07 00:00:00, dtype: float64",0.03126,High
PNGJL,"Ticker
PNGJL.NS   509.25
Name: 2025-04-07 00:00:00, dtype: float64",0.02795,Medium
HINDCON,"Ticker
HINDCON.NS   30.77
Name: 2025-04-07 00:00:00, dtype: float64",0.03472,High
UDAICEMENT,"Ticker
UDAICEMENT.NS   26.26
Name: 2025-04-07 00:00:00, dtype: float64",0.02126,Medium
DREAMFOLKS,"Ticker
DREAMFOLKS.NS   217.03
Name: 2025-04-07 00:00:00, dtype: float64",0.02536,Medium
OPTIEMUS,"Ticker
OPTIEMUS.NS   394.40
Name: 2025-04-07 00:00:00, dtype: float64",0.03525,High
DHANI,"Ticker
DHANI.NS   54.51
Name: 2025-04-07 00:00:00, dtype: float64",0.0455,High
TFCILTD,"Ticker
TFCILTD.NS   176.16
Name: 2025-04-07 00:00:00, dtype: float64",0.03287,High
JPASSOCIAT,"Ticker
JPASSOCIAT.NS   3.55
Name: 2025-04-07 00:00:00, dtype: float64",0.03243,High
AUTOIND,"Ticker
AUTOIND.NS   68.22
Name: 2025-04-07 00:00:00, dtype: float64",0.03079,High
GOENKA,"Ticker
GOENKA.NS   0.93
Name: 2025-04-07 00:00:00, dtype: float64",0.03033,High
TRIVENI,"Ticker
TRIVENI.NS   364.50
Name: 2025-04-07 00:00:00, dtype: float64",0.02707,Medium
IVP,"Ticker
IVP.NS   147.57
Name: 2025-04-07 00:00:00, dtype: float64",0.03686,High
URJA,"Ticker
URJA.NS   11.87
Name: 2025-04-07 00:00:00, dtype: float64",0.02288,Medium
RELAXO,"Ticker
RELAXO.NS   402.70
Name: 2025-04-07 00:00:00, dtype: float64",0.01771,Medium
GALAPREC,"Ticker
GALAPREC.NS   772.40
Name: 2025-04-07 00:00:00, dtype: float64",0.04958,High
SHK,"Ticker
SHK.NS   170.85
Name: 2025-04-07 00:00:00, dtype: float64",0.02851,Medium
FINCABLES,"Ticker
FINCABLES.NS   855.55
Name: 2025-04-07 00:00:00, dtype: float64",0.03118,High
PANAMAPET,"Ticker
PANAMAPET.NS   349.20
Name: 2025-04-07 00:00:00, dtype: float64",0.02722,Medium
ZOMATO,"Ticker
ZOMATO.NS   209.63
Name: 2025-04-07 00:00:00, dtype: float64",0.02871,Medium
TARACHAND,"Ticker
TARACHAND.NS   61.36
Name: 2025-04-07 00:00:00, dtype: float64",0.03466,High
VOLTAS,"Ticker
VOLTAS.NS   1294.95
Name: 2025-04-07 00:00:00, dtype: float64",0.02538,Medium
PEL,"Ticker
PEL.NS   954.80
Name: 2025-04-07 00:00:00, dtype: float64",0.02473,Medium
IOLCP,"Ticker
IOLCP.NS   59.78
Name: 2025-04-07 00:00:00, dtype: float64",0.02668,Medium
GANGESSECU,"Ticker
GANGESSECU.NS   137.34
Name: 2025-04-07 00:00:00, dtype: float64",0.03651,High
CANTABIL,"Ticker
CANTABIL.NS   242.25
Name: 2025-04-07 00:00:00, dtype: float64",0.0309,High
KAJARIACER,"Ticker
KAJARIACER.NS   785.10
Name: 2025-04-07 00:00:00, dtype: float64",0.01691,Medium
PRICOLLTD,"Ticker
PRICOLLTD.NS   411.60
Name: 2025-04-07 00:00:00, dtype: float64",0.0227,Medium
BIOCON,"Ticker
BIOCON.NS   307.50
Name: 2025-04-07 00:00:00, dtype: float64",0.02435,Medium
GENUSPOWER,"Ticker
GENUSPOWER.NS   265.95
Name: 2025-04-07 00:00:00, dtype: float64",0.03294,High
ITCHOTELS,"Ticker
ITCHOTELS.NS   195.75
Name: 2025-04-07 00:00:00, dtype: float64",0.02981,Medium
MUTHOOTCAP,"Ticker
MUTHOOTCAP.NS   250.17
Name: 2025-04-07 00:00:00, dtype: float64",0.02435,Medium
RBA,"Ticker
RBA.NS   66.28
Name: 2025-04-07 00:00:00, dtype: float64",0.02254,Medium
FINPIPE,"Ticker
FINPIPE.NS   175.65
Name: 2025-04-07 00:00:00, dtype: float64",0.02435,Medium
MEDICO,"Ticker
MEDICO.NS   56.00
Name: 2025-04-07 00:00:00, dtype: float64",0.04285,High
RSYSTEMS,"Ticker
RSYSTEMS.NS   293.95
Name: 2025-04-07 00:00:00, dtype: float64",0.0253,Medium
PRIVISCL,"Ticker
PRIVISCL.NS   1693.50
Name: 2025-04-07 00:00:00, dtype: float64",0.02396,Medium
ZENTEC,"Ticker
ZENTEC.NS   1377.20
Name: 2025-04-07 00:00:00, dtype: float64",0.04156,High
SUVEN,"Ticker
SUVEN.NS   118.81
Name: 2025-04-07 00:00:00, dtype: float64",0.03763,High
ORIENTELEC,"Ticker
ORIENTELEC.NS   197.17
Name: 2025-04-07 00:00:00, dtype: float64",0.02804,Medium
ZYDUSWELL,"Ticker
ZYDUSWELL.NS   1682.00
Name: 2025-04-07 00:00:00, dtype: float64",0.01774,Medium
SUNDROP,"Ticker
SUNDROP.NS   760.60
Name: 2025-04-07 00:00:00, dtype: float64",0.03983,High
SPORTKING,"Ticker
SPORTKING.NS   85.94
Name: 2025-04-07 00:00:00, dtype: float64",0.0353,High
SPCENET,"Ticker
SPCENET.NS   7.07
Name: 2025-04-07 00:00:00, dtype: float64",0.04649,High
