Company,Current Price,Volatility,Risk Level
PAKKA,158.78,0.03418,High
GODAVARIB,162.4,0.03854,High
TBZ,173.67,0.03821,High
LOKESHMACH,159.25,0.0406,High
DHARMAJ,189.8,0.035,High
VLEGOV,36.96,0.03733,High
PARAGMILK,172.84,0.03131,High
NKIND,65.76,0.03539,High
DOLPHIN,308.0,0.03111,High
ROSSELLIND,66.09,0.03022,High
DALMIASUG,356.3,0.03545,High
VENUSREM,294.05,0.03237,High
INNOVANA,312.7,0.04384,High
SEQUENT,126.68,0.03195,High
ANKITMETAL,2.14,0.03257,High
ELIN,130.69,0.03188,High
ZEEMEDIA,12.04,0.03577,High
MUFTI,120.94,0.03132,High
RTNPOWER,9.46,0.03115,High
JAIPURKURT,43.52,0.04212,High
ELECON,415.6,0.03657,High
DENTA,269.95,0.04204,High
CAPTRUST,84.12,0.0443,High
SURYALAXMI,57.89,0.03329,High
TRANSWORLD,249.75,0.03703,High
SEJALLTD,330.3,0.03256,High
DMCC,253.0,0.03456,High
KESORAMIND,3.99,0.0881,High
MALUPAPER,33.68,0.03033,High
SVPGLOB,2.95,0.03092,High
MAZDA,239.12,0.03559,High
KABRAEXTRU,263.9,0.03352,High
MCLOUD,56.51,0.05382,High
ELGIEQUIP,419.45,0.03045,High
FUSION,132.3,0.03376,High
NDLVENTURE,59.98,0.03225,High
SAMMAANCAP,102.67,0.03059,High
ASHIANA,270.65,0.03126,High
AVANTEL,106.39,0.03188,High
REPRO,398.2,0.03126,High
SANGHVIMOV,236.09,0.03762,High
LATTEYS,18.64,0.03189,High
WORTH,142.74,0.04056,High
RVNL,335.95,0.03383,High
ORIENTALTL,8.78,0.0323,High
GIPCL,169.07,0.03082,High
